"","listing_id","numPh","numFeat","distance_city","bedrooms","bathrooms","price","created_month","weekend","interest_level","interest_level_num"
"1","6811957",5,3,0.022061149366704,1,1,3195,4,FALSE,"high",3
"2","6811965",2,4,0.0589143256889205,0,1,2000,4,FALSE,"medium",2
"3","6811966",7,9,0.0333347814059094,3,2,5850,4,FALSE,"high",3
"4","6811973",5,7,0.0872520331647353,1,1,2745,4,FALSE,"medium",2
"5","6811975",7,7,0.0868126270272912,1,1,2400,4,TRUE,"medium",2
"6","6812000",5,5,0.0128002098178026,1,1,3650,4,TRUE,"low",1
"7","6812002",0,3,0.033347150273748,2,1,3150,4,TRUE,"low",1
"8","6812004",5,5,0.0304182345210857,1,1,3325,4,TRUE,"low",1
"9","6812005",0,3,0.0269894244358773,1,1,2795,4,TRUE,"low",1
"10","6812009",6,1,0.177016241264407,2,1,2400,4,TRUE,"low",1
"11","6812025",0,1,0.13527822194049,0,1,1370,4,TRUE,"medium",2
"12","6812033",1,3,0.0844778390548705,0,1,2450,4,TRUE,"low",1
"13","6812048",3,1,0.145982180389864,1,1,1495,4,TRUE,"low",1
"14","6812054",3,5,0.0561511099746092,1,1,3725,4,TRUE,"low",1
"15","6812061",11,5,0.0465958932887851,1,1,3350,4,TRUE,"low",1
"16","6812062",0,4,0.0409979874064585,0,1,2575,4,TRUE,"low",1
"17","6812064",6,3,0.0332136928296092,1,1,3300,4,TRUE,"low",1
"18","6812083",8,4,0.126931673081932,3,2,4475,4,TRUE,"low",1
"19","6812086",0,1,0.045920106613334,1,1,2875,4,TRUE,"low",1
"20","6812103",7,1,0.0508858576755852,2,1,3600,4,TRUE,"low",1
"21","6812107",8,1,0.0309606248544801,3,1,5595,4,TRUE,"low",1
"22","6812112",3,3,0.0649232614043695,0,1,1900,4,TRUE,"low",1
"23","6812113",5,6,0.0893313877166306,1,1,3125,4,TRUE,"low",1
"24","6812120",0,0,0.079847842496715,0,1,2095,4,TRUE,"low",1
"25","6812122",7,3,0.0172274243977459,2,2,4795,4,TRUE,"low",1
"26","6812133",0,4,0.0601694558009244,0,1,2750,4,TRUE,"low",1
"27","6812142",13,3,0.0559686731250666,2,1,2450,4,TRUE,"low",1
"28","6812150",1,3,0.109953643283792,2,1,2900,4,TRUE,"low",1
"29","6812154",2,3,0.0929158059287008,1,1,3350,4,TRUE,"low",1
"30","6812160",0,2,0.0783591267905709,2,1,2995,4,TRUE,"low",1
"31","6812162",0,1,0.117345955326033,2,1,2595,4,TRUE,"low",1
"32","6812175",9,4,0.0891452174341343,3,2,4510,4,TRUE,"low",1
"33","6812179",7,5,0.00736927346350933,1,1,3535,4,TRUE,"low",1
"34","6812192",3,4,0.0560218026430817,1,1,2895,4,TRUE,"low",1
"35","6812198",3,3,0.0717348090635272,0,1,1875,4,TRUE,"low",1
"36","6812201",4,1,0.0773811679375562,1,1,2100,4,TRUE,"low",1
"37","6812208",0,3,0.0146153012757127,1,1,2795,4,TRUE,"low",1
"38","6812223",9,0,0.0914486110959618,2,1,2450,4,TRUE,"low",1
"39","6812233",2,3,0.0695995135858008,1,1,2650,4,TRUE,"low",1
"40","6812234",5,4,0.0790409285837385,1,1,3495,4,TRUE,"low",1
"41","6812256",1,5,0.0536706138532082,1,1,2995,4,TRUE,"low",1
"42","6812258",4,3,0.0709975260933758,1,1,3807,4,TRUE,"low",1
"43","6812275",3,1,0.0547980781723279,2,1,2050,4,TRUE,"low",1
"44","6812282",7,3,0.0290854718266693,3,3,13995,4,TRUE,"low",1
"45","6812286",5,1,0.064237460810495,2,1,2800,4,TRUE,"low",1
"46","6812289",5,4,0.0253577560399209,1,1,3500,4,TRUE,"low",1
"47","6812301",0,1,0.13527822194049,0,1,1430,4,TRUE,"low",1
"48","6812319",11,4,0.0591037867769869,1,1,3500,4,TRUE,"low",1
"49","6812334",0,2,0.13527822194049,0,1,1605,4,TRUE,"low",1
"50","6812362",1,4,0.053159420720887,0,1,2175,4,TRUE,"low",1
"51","6812371",4,0,0.0977966675883189,1,1,1850,4,TRUE,"low",1
"52","6812372",8,4,0.0559531404961351,2,2,4300,4,TRUE,"low",1
"53","6812374",0,4,0.0738575128973313,1,1,3605,4,TRUE,"low",1
"54","6812395",0,3,0.0471639494887823,1,1,2650,4,TRUE,"low",1
"55","6812437",5,3,0.0494894402007158,1,1,2595,4,TRUE,"low",1
"56","6812444",2,2,0.0703329417227847,0,1,2075,4,TRUE,"low",1
"57","6812452",2,4,0.0671973739916945,1,1,3650,4,TRUE,"low",1
