listing_id,numPh,numFeat,distance_city,bedrooms,bathrooms,price,created_month,weekend,interest_level,interest_level_num
6811957,5,3,0.022061149,1,1,3195,4,FALSE,high,3
6811965,2,4,0.058914326,0,1,2000,4,FALSE,medium,2
6811966,7,9,0.033334781,3,2,5850,4,FALSE,high,3
6811973,5,7,0.087252033,1,1,2745,4,FALSE,medium,2
6811975,7,7,0.086812627,1,1,2400,4,TRUE,medium,2
6812000,5,5,0.01280021,1,1,3650,4,TRUE,low,1
6812002,0,3,0.03334715,2,1,3150,4,TRUE,low,1
6812004,5,5,0.030418235,1,1,3325,4,TRUE,low,1
6812005,0,3,0.026989424,1,1,2795,4,TRUE,low,1
6812009,6,1,0.177016241,2,1,2400,4,TRUE,low,1
6812025,0,1,0.135278222,0,1,1370,4,TRUE,medium,2
6812033,1,3,0.084477839,0,1,2450,4,TRUE,low,1
6812048,3,1,0.14598218,1,1,1495,4,TRUE,low,1
6812054,3,5,0.05615111,1,1,3725,4,TRUE,low,1
6812061,11,5,0.046595893,1,1,3350,4,TRUE,low,1
6812062,0,4,0.040997987,0,1,2575,4,TRUE,low,1
6812064,6,3,0.033213693,1,1,3300,4,TRUE,low,1
6812083,8,4,0.126931673,3,2,4475,4,TRUE,low,1
6812086,0,1,0.045920107,1,1,2875,4,TRUE,low,1
6812103,7,1,0.050885858,2,1,3600,4,TRUE,low,1
6812107,8,1,0.030960625,3,1,5595,4,TRUE,low,1
6812112,3,3,0.064923261,0,1,1900,4,TRUE,low,1
6812113,5,6,0.089331388,1,1,3125,4,TRUE,low,1
6812120,0,0,0.079847842,0,1,2095,4,TRUE,low,1
6812122,7,3,0.017227424,2,2,4795,4,TRUE,low,1
6812133,0,4,0.060169456,0,1,2750,4,TRUE,low,1
6812142,13,3,0.055968673,2,1,2450,4,TRUE,low,1
6812150,1,3,0.109953643,2,1,2900,4,TRUE,low,1
6812154,2,3,0.092915806,1,1,3350,4,TRUE,low,1
6812160,0,2,0.078359127,2,1,2995,4,TRUE,low,1
6812162,0,1,0.117345955,2,1,2595,4,TRUE,low,1
6812175,9,4,0.089145217,3,2,4510,4,TRUE,low,1
6812179,7,5,0.007369273,1,1,3535,4,TRUE,low,1
6812192,3,4,0.056021803,1,1,2895,4,TRUE,low,1
6812198,3,3,0.071734809,0,1,1875,4,TRUE,low,1
6812201,4,1,0.077381168,1,1,2100,4,TRUE,low,1
6812208,0,3,0.014615301,1,1,2795,4,TRUE,low,1
6812223,9,0,0.091448611,2,1,2450,4,TRUE,low,1
6812233,2,3,0.069599514,1,1,2650,4,TRUE,low,1
6812234,5,4,0.079040929,1,1,3495,4,TRUE,low,1
6812256,1,5,0.053670614,1,1,2995,4,TRUE,low,1
6812258,4,3,0.070997526,1,1,3807,4,TRUE,low,1
6812275,3,1,0.054798078,2,1,2050,4,TRUE,low,1
6812282,7,3,0.029085472,3,3,13995,4,TRUE,low,1
6812286,5,1,0.064237461,2,1,2800,4,TRUE,low,1
6812289,5,4,0.025357756,1,1,3500,4,TRUE,low,1
6812301,0,1,0.135278222,0,1,1430,4,TRUE,low,1
6812319,11,4,0.059103787,1,1,3500,4,TRUE,low,1
6812334,0,2,0.135278222,0,1,1605,4,TRUE,low,1
6812362,1,4,0.053159421,0,1,2175,4,TRUE,low,1
6812371,4,0,0.097796668,1,1,1850,4,TRUE,low,1
6812372,8,4,0.05595314,2,2,4300,4,TRUE,low,1
6812374,0,4,0.073857513,1,1,3605,4,TRUE,low,1
6812395,0,3,0.047163949,1,1,2650,4,TRUE,low,1
6812437,5,3,0.04948944,1,1,2595,4,TRUE,low,1
6812444,2,2,0.070332942,0,1,2075,4,TRUE,low,1
6812452,2,4,0.067197374,1,1,3650,4,TRUE,low,1
6812475,6,6,0.049096017,1,1,3346,4,TRUE,low,1
6812491,3,1,0.088947287,0,1,1850,4,TRUE,low,1
6812493,14,5,0.063503577,4,5,21500,4,TRUE,low,1
6812513,1,4,0.053159421,0,1,2175,4,TRUE,low,1
6812516,0,2,0.017962698,0,1,2250,4,TRUE,low,1
6812518,8,3,0.082694103,2,2,6100,4,TRUE,low,1
6812520,8,3,0.022758151,2,1,2550,4,TRUE,medium,2
6812524,4,3,0.030645244,0,1,2300,4,TRUE,low,1
6812533,2,3,0.017227424,1,1,3650,4,TRUE,low,1
6812535,0,3,0.030650616,0,1,2995,4,TRUE,low,1
6812539,14,2,0.055968673,1,1,2500,4,TRUE,low,1
6812546,13,4,0.089145217,2,1,4360,4,TRUE,medium,2
6812548,8,3,0.039951165,1,1,2995,4,TRUE,low,1
6812557,6,3,0.080044361,3,2,6995,4,TRUE,low,1
6812558,5,1,0.177016241,1,1,1850,4,TRUE,low,1
6812585,4,4,0.089578625,2,2,5495,4,TRUE,low,1
6812630,11,3,0.07860429,2,1,1950,4,TRUE,low,1
6812631,1,1,0.083152516,0,1,2390,4,TRUE,low,1
6812635,4,3,0.039951165,1,1,2995,4,TRUE,low,1
6812648,0,4,0.021798768,0,1,3195,4,TRUE,low,1
6812649,0,2,0.029878983,2,1,4500,4,TRUE,low,1
6812659,0,7,0.035373495,1,1,3926,4,TRUE,low,1
6812667,0,9,0.04432841,0,1,2620,4,TRUE,low,1
6812680,0,1,0.019884155,2,1,4000,4,TRUE,low,1
6812685,0,1,0.078912865,0,1,2995,4,TRUE,low,1
6812711,5,9,0.011577656,1,1,3595,4,TRUE,low,1
6812715,6,11,0.082416115,3,2,9500,4,TRUE,low,1
6812729,0,2,0.085941133,1,1,2599,4,TRUE,low,1
6812734,5,8,0.03900124,1,1,3495,4,TRUE,low,1
6812744,5,4,0.114603638,2,1,2495,4,TRUE,medium,2
6812759,0,3,0.032826426,0,1,2725,4,TRUE,low,1
6812767,0,8,0.004716905,0,1,3166,4,TRUE,low,1
6812781,0,5,0.026042303,2,2,6300,4,TRUE,low,1
6812786,0,5,0.087963942,1,1,3800,4,TRUE,low,1
6812788,0,8,0.040687508,1,1,4095,4,TRUE,low,1
6812792,0,7,0.003888281,0,1,3115,4,TRUE,low,1
