"listing_id","interest_level","interest_level_num","interest_Nbr","bedrooms","bathrooms","price","numFeat","numPh","distance_city","weekend","created_month","created_hour"
6811957,"high",3,3,1,1,3195,3,5,0.022061149,FALSE,4,22
6811965,"medium",2,2,0,1,2000,4,2,0.058914326,FALSE,4,22
6811966,"high",3,3,3,2,5850,9,7,0.033334781,FALSE,4,22
6811973,"medium",2,2,1,1,2745,7,5,0.087252033,FALSE,4,23
6811975,"medium",2,2,1,1,2400,7,7,0.086812627,TRUE,4,0
6812000,"low",1,1,1,1,3650,5,5,0.01280021,TRUE,4,1
6812002,"low",1,1,2,1,3150,3,0,0.03334715,TRUE,4,1
6812004,"low",1,1,1,1,3325,5,5,0.030418235,TRUE,4,1
6812005,"low",1,1,1,1,2795,3,0,0.026989424,TRUE,4,1
6812009,"low",1,1,2,1,2400,1,6,0.177016241,TRUE,4,1
6812025,"medium",2,2,0,1,1370,1,0,0.135278222,TRUE,4,1
6812033,"low",1,1,0,1,2450,3,1,0.084477839,TRUE,4,1
6812048,"low",1,1,1,1,1495,1,3,0.14598218,TRUE,4,1
6812054,"low",1,1,1,1,3725,5,3,0.05615111,TRUE,4,1
6812061,"low",1,1,1,1,3350,5,11,0.046595893,TRUE,4,1
6812062,"low",1,1,0,1,2575,4,0,0.040997987,TRUE,4,1
6812064,"low",1,1,1,1,3300,3,6,0.033213693,TRUE,4,1
6812083,"low",1,1,3,2,4475,4,8,0.126931673,TRUE,4,1
6812086,"low",1,1,1,1,2875,1,0,0.045920107,TRUE,4,1
6812103,"low",1,1,2,1,3600,1,7,0.050885858,TRUE,4,1
6812107,"low",1,1,3,1,5595,1,8,0.030960625,TRUE,4,1
6812112,"low",1,1,0,1,1900,3,3,0.064923261,TRUE,4,1
6812113,"low",1,1,1,1,3125,6,5,0.089331388,TRUE,4,1
6812120,"low",1,1,0,1,2095,0,0,0.079847842,TRUE,4,1
6812122,"low",1,1,2,2,4795,3,7,0.017227424,TRUE,4,1
6812133,"low",1,1,0,1,2750,4,0,0.060169456,TRUE,4,1
6812142,"low",1,1,2,1,2450,3,13,0.055968673,TRUE,4,1
6812150,"low",1,1,2,1,2900,3,1,0.109953643,TRUE,4,1
6812154,"low",1,1,1,1,3350,3,2,0.092915806,TRUE,4,1
6812160,"low",1,1,2,1,2995,2,0,0.078359127,TRUE,4,1
6812162,"low",1,1,2,1,2595,1,0,0.117345955,TRUE,4,1
6812175,"low",1,1,3,2,4510,4,9,0.089145217,TRUE,4,1
6812179,"low",1,1,1,1,3535,5,7,0.007369273,TRUE,4,1
6812192,"low",1,1,1,1,2895,4,3,0.056021803,TRUE,4,1
6812198,"low",1,1,0,1,1875,3,3,0.071734809,TRUE,4,1
6812201,"low",1,1,1,1,2100,1,4,0.077381168,TRUE,4,1
6812208,"low",1,1,1,1,2795,3,0,0.014615301,TRUE,4,1
6812223,"low",1,1,2,1,2450,0,9,0.091448611,TRUE,4,1
6812233,"low",1,1,1,1,2650,3,2,0.069599514,TRUE,4,1
6812234,"low",1,1,1,1,3495,4,5,0.079040929,TRUE,4,1
6812256,"low",1,1,1,1,2995,5,1,0.053670614,TRUE,4,1
